v = -2.2581001374965726 , x = -4.8709499312517135
v = -4.4031542665439085 , x = -2.6693727979797592
v = -2.8229597872686476 , x = -1.2578929043454354
v = -2.285262904099286 , x = -0.11526145229579243
v = -1.9509568676755553 , x = 0.8602169815419852
v = -1.604635026407083 , x = 1.6625344947455267
v = -1.6894086521515121 , x = 2.507238820821283
v = -2.2279793528448946 , x = 3.62122849724373
v = -1.9197863992230724 , x = 4.581121696855266
v = 0.3248580743189615 , x = 4.418692659695786
v = 1.772930812793668 , x = 3.5322272532989523
v = 1.1401966375445505 , x = 2.9621289345266772
v = 0.07262483702295108 , x = 2.925816516015202
v = -0.7967768309721425 , x = 3.324204931501273
v = -1.1905348378758123 , x = 3.919472350439179
v = -0.5327984097625149 , x = 4.185871555320436
v = 0.5679046238945903 , x = 3.901919243373141
v = 0.8380904455263928 , x = 3.4828740206099447
v = 0.3200700118319812 , x = 3.322839014693954
v = -0.29860109205823165 , x = 3.47213956072307
v = -0.6044339389835056 , x = 3.7743565302148228
v = -0.3498122401260423 , x = 3.949262650277844
v = 0.2013551361188416 , x = 3.848585082218423
v = 0.43794166908449844 , x = 3.629614247676174
v = 0.22687944009925878 , x = 3.5161745276265446
v = -0.12061016424843263 , x = 3.576479609750761
v = -0.30629903702021366 , x = 3.729629128260868
v = -0.19403844103873774 , x = 3.8266483487802367
v = 0.07861162138664227 , x = 3.7873425380869157
v = 0.22115418870829742 , x = 3.676765443732767
v = 0.13382180433056673 , x = 3.6098545415674836
v = -0.04905812946085858 , x = 3.634383606297913
v = -0.1547484836271184 , x = 3.711757848111472
v = -0.10506854390910321 , x = 3.7642921200660235
v = 0.030823897724449753 , x = 3.7488801712037985
v = 0.11093009130803914 , x = 3.693415125549779
v = 0.07483577972782851 , x = 3.6559972356858648
v = -0.019058365396169293 , x = 3.6655264183839495
v = -0.07781771324880224 , x = 3.7044352750083505
v = -0.056612816830462154 , x = 3.7327416834235816
v = 0.011377704000790613 , x = 3.7270528314231863
v = 0.05542259872496434 , x = 3.6993415320607044
v = 0.0409208856032614 , x = 3.6788810892590735
v = -0.006678424490946577 , x = 3.6822203015045467
v = -0.038925698326661 , x = 3.7016831506678773
v = -0.030398237293044483 , x = 3.7168822693143997
v = 0.0036178512601450566 , x = 3.715073343684327
v = 0.02757657702931183 , x = 3.701285055169671
v = 0.02209585913328632 , x = 3.6902371256030277
v = -0.0018359123893471295 , x = 3.6911550817977012
v = -0.019364086906002796 , x = 3.7008371252507026
v = -0.01625271107977541 , x = 3.7089634807905902
v = 0.0007239802876867658 , x = 3.708601490646747
v = 0.01365792228137032 , x = 3.7017725295060617
v = 0.011827586656428236 , x = 3.6958587361778474
v = -0.0001267777731589776 , x = 3.6959221250644267
v = -0.00957810211103747 , x = 3.7007111761199454
v = -0.008647700596699955 , x = 3.705035026418295
v = -0.00020771797525159178 , x = 3.705138885405921
v = 0.006729455882040597 , x = 3.7017741574649006
v = 0.00628770837339165 , x = 3.698630303278205
v = 0.00035118988095206045 , x = 3.698454708337729
v = -0.004709431005193568 , x = 3.7008094238403255
v = -0.004578206237647698 , x = 3.7030985269591494
v = -0.0004021353798072365 , x = 3.703299594649053
v = 0.003296681580264884 , x = 3.7016512538589206
v = 0.0033229527112906805 , x = 3.699989777503275
v = 0.0003918647577234127 , x = 3.6997938451244132
v = -0.0023008692011521267 , x = 3.700944279724989
v = -0.002411734148460537 , x = 3.7021501467992195
v = -0.000356554909011577 , x = 3.702328424253725
v = 0.0016047237199285187 , x = 3.7015260623937607
v = 0.001746805002983662 , x = 3.7006526598922687
v = 0.00030826562747610325 , x = 3.7004985270785307
v = -0.0011163728495763062 , x = 3.701056713503319
v = -0.0012643353128907883 , x = 3.7016888811597646
v = -0.00025895765810363136 , x = 3.7018183599888164
v = 0.00077557996112394 , x = 3.7014305700082546
v = 0.0009137269208906319 , x = 3.7009737065478094
v = 0.00021223422736359513 , x = 3.700867589434128
v = -0.000537524092304595 , x = 3.70113635148028
v = -0.0006597234434385225 , x = 3.701466213201999
v = -0.00017115213106505512 , x = 3.7015517892675316
v = 0.000371842969047487 , x = 3.7013658677830077
v = 0.0004757195720529419 , x = 3.701128007996981
v = 0.00013604298499991443 , x = 3.701059986504481
v = -0.00025658604139238426 , x = 3.7011882795251774
v = -0.00034268128453293525 , x = 3.7013596201674437
v = -0.00010700556314222531 , x = 3.7014131229490146
v = 0.00017664317136986866 , x = 3.7013248013633295
v = 0.0002465613106676271 , x = 3.7012015207079956
v = 8.33707880309487e-05 , x = 3.7011598353139803
v = -0.00012127021181744531 , x = 3.701220470419889
v = -0.00017721374646940686 , x = 3.7013090772931236
v = -6.447419663607517e-05 , x = 3.7013413143914415
v = 8.302017604262697e-05 , x = 3.7012998043034204
v = 0.0001272301144604185 , x = 3.70123618924619
v = 4.952511453022381e-05 , x = 3.701211426688925
v = -5.665162374239026e-05 , x = 3.701239752500796
v = -9.124690618079299e-05 , x = 3.7012853759538866
v = -3.7829827215146486e-05 , x = 3.701304290867494
v = 3.8525006117384934e-05 , x = 3.701285028364435
v = 6.536986893660684e-05 , x = 3.701252343429967
v = 2.8749700573211485e-05 , x = 3.7012379685796803
v = -2.6096611041110304e-05 , x = 3.701251016885201
v = -4.6781326173995045e-05 , x = 3.7012744075482877
v = -2.1753411255716368e-05 , x = 3.7012852842539155
v = 1.7601973740383166e-05 , x = 3.701276483267045
v = 3.344274973974047e-05 , x = 3.701259761892175
v = 1.6393863155908392e-05 , x = 3.701251564960597
v = -1.1814780528387571e-05 , x = 3.701257472350861
v = -2.3881687846325136e-05 , x = 3.701269413194784
v = -1.2310971852025504e-05 , x = 3.70127556868071
v = 7.886745687128865e-06 , x = 3.7012716253078666
v = 1.70357163625069e-05 , x = 3.701263107449685
v = 9.214784620534917e-06 , x = 3.701258500057375
v = -5.231348008233917e-06 , x = 3.701261115731379
v = -1.2139040808639063e-05 , x = 3.7012671852517833
v = -6.876925361773468e-06 , x = 3.701270623714464
v = 3.44448693377016e-06 , x = 3.701268901470997
v = 8.640400698196132e-06 , x = 3.701264581270648
v = 5.118174651604313e-06 , x = 3.7012620221833226
v = -2.248253024411485e-06 , x = 3.701263146309835
v = -6.143318970415052e-06 , x = 3.70126621796932
v = -3.799647843823686e-06 , x = 3.7012681177932416
v = 1.4521397336893464e-06 , x = 3.7012673917233747
v = 4.363012978642407e-06 , x = 3.7012652102168855
v = 2.8141857227351223e-06 , x = 3.701263803124024
v = -9.259141761288588e-07 , x = 3.7012642660811124
v = -3.0951110485394987e-06 , x = 3.7012658136366365
v = -2.079763788364771e-06 , x = 3.701266853518531
v = 5.808555476075424e-07 , x = 3.701266563090757
v = 2.1931290448160846e-06 , x = 3.701265466526235
v = 1.5338561042648867e-06 , x = 3.7012646995981826
v = -3.567396496238286e-07 , x = 3.7012648779680073
v = -1.5521726211201347e-06 , x = 3.701265654054318
v = -1.1290630276212933e-06 , x = 3.701266218585832
v = 2.1285273180050613e-07 , x = 3.701266112159466
v = 1.0972174681927441e-06 , x = 3.701265563550732
v = 8.29583241017183e-07 , x = 3.7012651487591115
v = -1.217962876122781e-07 , x = 3.7012652096572554
v = -7.74656405867405e-07 , x = 3.701265596985458
v = -6.084872302566802e-07 , x = 3.7012659012290734
v = 6.522667278409057e-08 , x = 3.701265868615737
v = 5.462291335236543e-07 , x = 3.70126559550117
v = 4.4558294977222316e-07 , x = 3.701265372709695
v = -3.0935166063125314e-08 , x = 3.701265388177278
v = -3.8465677325208526e-07 , x = 3.7012655805056647
v = -3.2577956984234443e-07 , x = 3.7012657433954494
v = 1.0851020731390042e-08 , x = 3.701265737969939
v = 2.7051190672766227e-07 , x = 3.7012656027139856
v = 2.3782960353777266e-07 , x = 3.701265483799184
v = 3.1839044652064623e-10 , x = 3.7012654836399888
v = -1.89973542124678e-07 , x = 3.7012655786267596
v = -1.7337264895242176e-07 , x = 3.701265665313084
v = -6.011130121372789e-09 , x = 3.701265668318649
v = 1.332203337201516e-07 , x = 3.7012656017084824
v = 1.2620911121534703e-07 , x = 3.7012655386039266
v = 8.434801877434656e-09 , x = 3.7012655343865255
v = -9.32808742085174e-08 , x = 3.701265581026963
v = -9.175226815228277e-08 , x = 3.701265626903097
v = -8.986745864983893e-09 , x = 3.7012656313964696
v = 6.52124276660944e-08 , x = 3.701265598790256
v = 6.661577803813902e-08 , x = 3.701265565482367
v = 8.535277489151583e-09 , x = 3.7012655612147283
v = -4.551464662589545e-08 , x = 3.7012655839720514
v = -4.830453176727946e-08 , x = 3.7012656081243174
v = -7.606940813684927e-09 , x = 3.701265611927788
v = 3.171161905265392e-08 , x = 3.7012655960719782
v = 3.498352278953961e-08 , x = 3.701265578580217
v = 6.5102754652240435e-09 , x = 3.701265575325079
v = -2.2054174458350266e-08 , x = 3.701265586352166
v = -2.5305613759590203e-08 , x = 3.701265599004973
v = -5.417005546006262e-09 , x = 3.7012656017134757
v = 1.5308115280550945e-08 , x = 3.701265594059418
v = 1.8283489704137747e-08 , x = 3.701265584917673
v = 4.414774753518291e-09 , x = 3.701265582710286
v = -1.0603722356195952e-08 , x = 3.7012655880121472
v = -1.319471501874579e-08 , x = 3.7012655946095046
v = -3.5410219008872857e-09 , x = 3.7012655963800154
v = 7.32893125506231e-09 , x = 3.70126559271555
v = 9.511481037329368e-09 , x = 3.701265587959809
v = 2.8044190002166545e-09 , x = 3.7012655865575996
v = -5.0535908143760255e-09 , x = 3.701265589084395
v = -6.848740900357134e-09 , x = 3.7012655925087654
v = -2.1982057892709624e-09 , x = 3.7012655936078684
v = 3.4758252678833708e-09 , x = 3.701265591869956
v = 4.925993725145707e-09 , x = 3.701265589406959
v = 1.7082690826334366e-09 , x = 3.7012655885528245
v = -2.384093899366405e-09 , x = 3.7012655897448714
v = -3.5391778213527687e-09 , x = 3.7012655915144603
v = -1.31788525291694e-09 , x = 3.701265592173403
v = 1.6303879075334388e-09 , x = 3.701265591358209
v = 2.5400378463368435e-09 , x = 3.70126559008819
v = 1.0103600619738923e-09 , x = 3.70126558958301
v = -1.1113153599823187e-09 , x = 3.701265590138668
v = -1.8210005842980122e-09 , x = 3.701265591049168
v = -7.703782594756318e-10 , x = 3.7012655914343573
v = 7.547750438325832e-10 , x = 3.70126559105697
v = 1.3041096391491484e-09 , x = 3.701265590404915
v = 5.845807722199894e-10 , x = 3.701265590112625
v = -5.105741166854648e-10 , x = 3.7012655903679117
v = -9.329377096011767e-10 , x = 3.7012655908343803
v = -4.4170283809559114e-10 , x = 3.7012655910552317
v = 3.438377161558402e-10 , x = 3.7012655908833128
v = 6.666923742591572e-10 , x = 3.7012655905499665
v = 3.3246916833538837e-10 , x = 3.701265590383732
v = -2.3038335281678828e-10 , x = 3.701265590498924
v = -4.759173289944224e-10 , x = 3.7012655907368823
v = -2.493845317840813e-10 , x = 3.7012655908615746
v = 1.534762389328474e-10 , x = 3.7012655907848364
v = 3.393664074146224e-10 , x = 3.701265590615153
v = 1.8647437833411074e-10 , x = 3.701265590521916
v = -1.0156356808372531e-10 , x = 3.7012655905726977
v = -2.4173208277323314e-10 , x = 3.7012655906935636
v = -1.3903323255366948e-10 , x = 3.7012655907630805
v = 6.66886076457691e-11 , x = 3.701265590729736
v = 1.7199784504088864e-10 , x = 3.7012655906437373
v = 1.0338662030212377e-10 , x = 3.701265590592044
v = -4.3384861096075934e-11 , x = 3.7012655906137364
v = -1.222446222942978e-10 , x = 3.7012655906748586
v = -7.669071340868191e-11 , x = 3.701265590713204
v = 2.790953808860101e-11 , x = 3.7012655906992493
v = 8.678611346651376e-11 , x = 3.7012655906558565
v = 5.6758581526978875e-11 , x = 3.7012655906274774
v = -1.770602746820416e-11 , x = 3.7012655906363303
v = -6.154203523820741e-11 , x = 3.7012655906671013
v = -4.19168143690763e-11 , x = 3.7012655906880596
v = 1.1035785694501092e-11 , x = 3.701265590682542
v = 4.3590155545824375e-11 , x = 3.701265590660747
v = 3.089397329482264e-11 , x = 3.7012655906452996
v = -6.719587265536597e-12 , x = 3.7012655906486596
v = -3.083814638407641e-11 , x = 3.701265590664079
v = -2.2726116910853614e-11 , x = 3.7012655906754417
v = 3.960595113863501e-12 , x = 3.7012655906734615
v = 2.179020247420757e-11 , x = 3.701265590662566
v = 1.668813491718326e-11 , x = 3.7012655906542222
v = -2.2245888341147872e-12 , x = 3.7012655906553347
v = -1.537741621937484e-11 , x = 3.701265590663023
v = -1.2233809690708871e-11 , x = 3.70126559066914
v = 1.153445203457076e-12 , x = 3.701265590668563
v = 1.0838024768929978e-11 , x = 3.701265590663144
v = 8.953304641818473e-12 , x = 3.701265590658667
v = -5.118395576480939e-13 , x = 3.701265590658923
v = -7.629296384176854e-12 , x = 3.7012655906627376
v = -6.542907789409106e-12 , x = 3.7012655906660092
v = 1.4128483586575318e-13 , x = 3.7012655906659386
v = 5.363139325382013e-12 , x = 3.701265590663257
v = 4.774479881200209e-12 , x = 3.70126559066087
v = 6.019110789544682e-14 , x = 3.7012655906608396
v = -3.76497470514022e-12 , x = 3.701265590662722
v = -3.478895159348532e-12 , x = 3.7012655906644616
v = -1.5828244373904552e-13 , x = 3.7012655906645406
v = 2.638806372587074e-12 , x = 3.7012655906632212
v = 2.5312423084297885e-12 , x = 3.7012655906619556
v = 1.955239378455129e-13 , x = 3.701265590661858
v = -1.8466896396732824e-12 , x = 3.701265590662781
